direction,condition,target,source,band,p_value,deltaO,significant
top_down,stand,6,3,delta,0.235,0.003,not significant
top_down,stand,6,3,theta,0.135,0.004,not significant
top_down,stand,6,3,alpha,0.005,0.016,significant
top_down,stand,6,3,beta,0.43,0.001,not significant
top_down,stand,6,3,gamma,0.065,0.005,not significant
top_down,dev,6,3,delta,0.145,0.004,not significant
top_down,dev,6,3,theta,0.23,0.003,not significant
top_down,dev,6,3,alpha,0.005,0.022,significant
top_down,dev,6,3,beta,0.585,-0.001,not significant
top_down,dev,6,3,gamma,0.075,0.006,not significant
