direction,condition,target,source,band,p_value,deltaO,significant
top_down,stand,6,2,delta,0.84,-0.003,not significant
top_down,stand,6,2,theta,0.895,-0.003,not significant
top_down,stand,6,2,alpha,1.0,-0.009,not significant
top_down,stand,6,2,beta,0.005,0.019,significant
top_down,stand,6,2,gamma,0.005,0.052,significant
top_down,dev,6,2,delta,0.015,0.004,significant
top_down,dev,6,2,theta,0.06,0.004,not significant
top_down,dev,6,2,alpha,0.58,-0.0,not significant
top_down,dev,6,2,beta,0.005,0.032,significant
top_down,dev,6,2,gamma,0.005,0.064,significant
